run_id,git_commit,machine,gpu,seed,grid_offset,case_name,router_recipe,balance_recipe,balance_coeff,route_row_role,route_rows,route_result_rows,route_rows_output_count,route_rows_output_fraction,route_rows_contribute,depth,leaf_rows,shared_unrouted_frac,eligible_index,layer,sample_split,sample_batches,test_accessed,scheduler_status,trial_status,captured_tokens,observed_tokens,fit_tokens,metric_tokens,metric_split,metric_holdout_fraction,initial_normalized_mse,final_normalized_mse,nmse_delta,final_cosine_similarity,tokens_per_second,train_seconds,dead_leaves,route_entropy_mean,leaf_tokens_p10,leaf_tokens_p50,leaf_tokens_p90,route_churn_available,route_churn_fraction,route_churn_changed_tokens,route_churn_tokens,route_churn_initial_unique_leaves,route_churn_final_unique_leaves,route_churn_reason,active_rows_per_token,stored_rows,effective_stored_rows,route_output_rows_per_token,route_output_rows_per_node,locoprop_status,locoprop_mse_before,locoprop_mse_after,locoprop_nonincreasing
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,41,blocks.10.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0074784755706787,0.6907086372375488,0.3167698383331299,0.540087878704071,32460.566998278715,0.39432459700037725,2,0.0,1.0,5.5,16.699996948242188,true,0.4873359780286848,1597,3277,32,32,,47.0,259,228,5,1,succeeded,0.04831846430897713,0.038634005934000015,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,43,blocks.10.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0077229738235474,0.6897053122520447,0.3180176615715027,0.5279039144515991,32731.7224840329,0.39105794100032654,1,0.0,1.0,3.5,18.699996948242188,true,0.6518156850778151,2136,3277,32,32,,47.0,259,228,5,1,succeeded,0.05971815064549446,0.048069484531879425,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,45,blocks.11.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0090060234069824,0.707669734954834,0.30133628845214844,0.4894162118434906,30662.255907525116,0.4174513460002345,0,0.0,2.0,6.0,15.599996566772461,true,0.5916997253585596,1939,3277,32,32,,47.0,259,228,5,1,succeeded,0.08892668783664703,0.07171173393726349,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,47,blocks.11.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0058574676513672,0.6913312673568726,0.31452620029449463,0.4993496835231781,33039.44710706062,0.38741568400109827,0,0.0,2.0,5.0,18.0,true,0.6023802258162954,1974,3277,32,32,,47.0,259,228,5,1,succeeded,0.08137352019548416,0.06532232463359833,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,35,blocks.8.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0062086582183838,0.652241587638855,0.3539670705795288,0.5645467042922974,24420.78957306622,0.5241435770003591,2,0.0,1.0,4.0,17.0,true,0.6042111687519073,1980,3277,32,32,,47.0,259,228,5,1,succeeded,0.041714396327733994,0.03318542614579201,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,39,blocks.9.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0070912837982178,0.6913983225822449,0.3156929612159729,0.531405508518219,30536.054229349924,0.4191766200001439,2,0.0,1.0,3.0,24.499996185302734,true,0.5715593530668294,1873,3277,32,32,,47.0,259,228,5,1,succeeded,0.04565386101603508,0.03642157092690468,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,41,blocks.10.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.006288766860962,0.7000765800476074,0.3062121868133545,0.5296081900596619,28184.09077437855,0.45415692499955185,2,0.0,1.2000000476837158,6.0,14.899999618530273,true,0.4980164784864205,1632,3277,32,32,,47.0,259,228,5,1,succeeded,0.04849884659051895,0.03907538950443268,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,43,blocks.10.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0089868307113647,0.6877195835113525,0.3212672472000122,0.5354711413383484,30591.228280183324,0.41842059700138634,2,0.0,1.0,2.0,23.399995803833008,true,0.6710405859017394,2199,3277,32,32,,47.0,259,228,5,1,succeeded,0.05962788686156273,0.04782337695360184,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,45,blocks.11.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0084357261657715,0.7028229832649231,0.3056127429008484,0.4964069128036499,30199.34787712551,0.423850212000616,2,0.0,2.0,6.0,16.0,true,0.5062557216966738,1659,3277,32,32,,47.0,259,228,5,1,succeeded,0.08877277374267578,0.07128427922725677,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,2,26005,4,clipped_ste_seed21002,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,47,blocks.11.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0087039470672607,0.6995238065719604,0.3091801404953003,0.49217966198921204,29289.6898282782,0.4370138459998998,1,0.0,1.100000023841858,6.0,15.899999618530273,true,0.5334147085749161,1748,3277,32,32,,47.0,259,228,5,1,succeeded,0.08261167258024216,0.06578128039836884,true
