run_id,git_commit,machine,gpu,seed,eligible_index,layer,sample_split,sample_batches,test_accessed,captured_tokens,observed_tokens,initial_nmse,final_nmse,nmse_delta,final_cosine_similarity,tokens_per_second,train_seconds,router_recipe,route_row_role,route_rows,route_result_rows,route_rows_output_count,route_rows_output_fraction,route_rows_contribute,route_entropy_mean,dead_leaves,leaf_tokens_p10,leaf_tokens_p50,leaf_tokens_p90,active_rows_per_token,stored_rows,effective_stored_rows,route_output_rows_per_token,route_output_rows_per_node,locoprop_status,locoprop_mse_before,locoprop_mse_after,locoprop_nonincreasing
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,35,blocks.8.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0077108144760132,0.6581509113311768,0.3495599031448364,0.5706980228424072,28090.327725508847,0.4556728609604761,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,9,0.0,2.0,18.799999237060547,171.0,259,228,5,1,succeeded,0.04029908403754234,0.032506655901670456,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,36,blocks.9.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0176395177841187,0.17762459814548492,0.8400149196386337,0.9183980226516724,41580.63063148851,0.3078356389887631,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,7,0.0,2.0,16.699996948242188,345.0,433,402,5,1,succeeded,0.0739368349313736,0.03154639154672623,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,37,blocks.9.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0059243440628052,0.654752254486084,0.3511720895767212,0.5364940166473389,47317.06301331908,0.27051552198827267,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,10,0.0,1.0,8.79999828338623,171.0,259,228,5,1,succeeded,0.0555076003074646,0.04451458901166916,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,38,blocks.9.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0197829008102417,0.17686404287815094,0.8429188579320908,0.9183678030967712,43122.20518932087,0.29683083097916096,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,15,0.0,1.0,17.99999237060547,345.0,433,402,5,1,succeeded,0.06906155496835709,0.029101308435201645,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,39,blocks.9.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0093951225280762,0.6838973760604858,0.32549774646759033,0.5314043164253235,44275.018717091385,0.2891020799288526,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,10,0.0,2.0,27.399988174438477,171.0,259,228,5,1,succeeded,0.045967474579811096,0.03656359761953354,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,40,blocks.10.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.019843339920044,0.18792420625686646,0.8319191336631775,0.9156012535095215,43422.249565413535,0.29477975296322256,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,17,0.0,0.0,20.899991989135742,345.0,433,402,5,1,succeeded,0.07280176877975464,0.030479518696665764,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,1,1337,41,blocks.10.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.007057547569275,0.6818343997001648,0.3252231478691101,0.5344523191452026,49053.568682570985,0.2609392210142687,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,9,0.0,2.0,19.699996948242188,171.0,259,228,5,1,succeeded,0.05426644906401634,0.043230555951595306,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,2,1337,42,blocks.10.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0186197757720947,0.17874731123447418,0.8398724645376205,0.9193078279495239,30249.491063844052,0.42314761504530907,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,13,0.0,1.0,13.699997901916504,345.0,433,402,5,1,succeeded,0.07279247790575027,0.029909538105130196,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,2,1337,43,blocks.10.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.005838394165039,0.669104814529419,0.3367335796356201,0.5387391448020935,37997.98811562126,0.3368599400855601,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,10,0.0,1.0,15.899999618530273,171.0,259,228,5,1,succeeded,0.05694308504462242,0.045804738998413086,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,foureyes,2,1337,44,blocks.11.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0178889036178589,0.1966600865125656,0.8212288171052933,0.9118432998657227,39266.31033913851,0.32597918901592493,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,13,0.0,1.0,11.699997901916504,345.0,433,402,5,1,succeeded,0.07892435789108276,0.03363718092441559,True
